dataset,sequence_name,model_type,past,iterations,AUC,RAUC,VUS,F1,RF,AUCf,RAUCf,VUSf,F1f,RFf,run_name,overview_plot,latent_plot,roc_plot,code_configuration,experiment_name,experiment_type,slurm,path
fsb,4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly,tcNF-cnn,208,0,0.82,0.92,0.93,0.02,0.04,[0.8241497311264753],[0.9202890838045662],[0.9262506435975127],[0.018957345971563982],[0.036262816910103496],tcNF-cnn#4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly#0#mj5uhe1cvb,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly#0#mj5uhe1cvb/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly#0#mj5uhe1cvb/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly#0#mj5uhe1cvb/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 5, 'input_embedding_type': 0, 'seed': 83, 'past': 208, 'hidden_multiplier': 50, 'st_net_layers': 6, 'st_dropout': 0.2, 'st_funnel_factor': 9, 'encoder_layers': 3, 'encoder_size': 5, 'encoder_dropout': 0.5, 'encoder_channel_depth': 7, 'input_shape': [4785, 4], 'hist_shape': [4785, 208, 4]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23146512,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-std_cut_wave-stdRatio_2-stdPast_30-no-anomaly#0#mj5uhe1cvb/
fsb,2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly,tcNF-cnn,163,0,0.61,0.89,0.81,0.00,0.00,[0.6131221719457014],[0.8857019160899678],[0.8103906267438499],[0.0],[0],tcNF-cnn#2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly#0#1d2gp4q3bm,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly#0#1d2gp4q3bm/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly#0#1d2gp4q3bm/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly#0#1d2gp4q3bm/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 4, 'input_embedding_type': 0, 'seed': 78, 'past': 163, 'hidden_multiplier': 43, 'st_net_layers': 4, 'st_dropout': 0.7, 'st_funnel_factor': 7, 'encoder_layers': 4, 'encoder_size': 5, 'encoder_dropout': 0.6, 'encoder_channel_depth': 2, 'input_shape': [885, 2], 'hist_shape': [885, 163, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23146281,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing_continue-stdRatio_3-stdPast_10-no-anomaly#0#1d2gp4q3bm/
fsb,2-rw-one-channels-trend-anomaly,tcNF-cnn,27,1,"0.34, 0.29","0.47, 0.52","0.41, 0.40","0.20, 0.00","0.40, 0.00","[0.34433576642335767, 0.2928467153284671]","[0.46975819975257904, 0.5156065381370711]","[0.411884056852128, 0.3991236567741402]","[0.20415879017013233, 0.0]","[0.40010792121751126, 0]",tcNF-cnn#2-rw-one-channels-trend-anomaly#0#rp3buamnzy,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-rw-one-channels-trend-anomaly#0#rp3buamnzy/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-rw-one-channels-trend-anomaly#0#rp3buamnzy/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-rw-one-channels-trend-anomaly#0#rp3buamnzy/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 3, 'input_embedding_type': 0, 'seed': 57, 'past': 27, 'hidden_multiplier': 24, 'st_net_layers': 2, 'st_dropout': 0.5, 'st_funnel_factor': 8, 'encoder_layers': 1, 'encoder_size': 6, 'encoder_dropout': 0.6, 'encoder_channel_depth': 2, 'input_shape': [785, 4], 'hist_shape': [785, 27, 4]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23145659,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-rw-one-channels-trend-anomaly#0#rp3buamnzy/
fsb,2-sine-one-channel-anomaly-noise-10%,tcNF-base,64,1,"0.95, 0.95","0.96, 0.94","0.97, 0.96","0.76, 0.81","0.26, 0.27","[0.9466861313868613, 0.9456788321167884]","[0.9578552295478225, 0.937571886699325]","[0.9696809740864909, 0.9555565473295591]","[0.7553648068669528, 0.8113207547169812]","[0.260330169484069, 0.27038226458095926]",tcNF-base#2-sine-one-channel-anomaly-noise-10%#0#kcnqi3eszw,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-10%#0#kcnqi3eszw/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-10%#0#kcnqi3eszw/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-10%#0#kcnqi3eszw/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 17, 'input_embedding_type': 0, 'seed': 45, 'past': 64, 'hidden_multiplier': 31, 'st_net_layers': 5, 'st_dropout': 0.3, 'st_funnel_factor': 7, 'input_shape': [785, 2], 'hist_shape': [785, 64, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23145537,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-10%#0#kcnqi3eszw/
fsb,10-rw-one-channels-anomaly-no-anomaly,tcNF-mlp,175,0,0.86,0.93,0.91,0.14,0.12,[0.8633548387096774],[0.9325218327039545],[0.906375732655038],[0.140625],[0.11554563215182807],tcNF-mlp#10-rw-one-channels-anomaly-no-anomaly#0#sa15rkjpcl,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#10-rw-one-channels-anomaly-no-anomaly#0#sa15rkjpcl/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#10-rw-one-channels-anomaly-no-anomaly#0#sa15rkjpcl/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#10-rw-one-channels-anomaly-no-anomaly#0#sa15rkjpcl/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 18, 'input_embedding_type': 0, 'seed': 39, 'past': 175, 'hidden_multiplier': 47, 'st_net_layers': 2, 'st_dropout': 0.6, 'st_funnel_factor': 5, 'encoder_layers': 5, 'encoder_dropout': 0.4, 'encoder_compression_factor': 18, 'input_shape': [785, 10], 'hist_shape': [785, 175, 10]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23146868,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#10-rw-one-channels-anomaly-no-anomaly#0#sa15rkjpcl/
fsb,2-sine-one-channel-frequency-anomaly-no-anomaly,tcNF-mlp,14,0,0.53,0.77,0.77,0.04,0.02,[0.5312258064516128],[0.7678819900391636],[0.7689679282843018],[0.037037037037037035],[0.01660763021891876],tcNF-mlp#2-sine-one-channel-frequency-anomaly-no-anomaly#0#iyuea612lc,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-sine-one-channel-frequency-anomaly-no-anomaly#0#iyuea612lc/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-sine-one-channel-frequency-anomaly-no-anomaly#0#iyuea612lc/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-sine-one-channel-frequency-anomaly-no-anomaly#0#iyuea612lc/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 3, 'input_embedding_type': 0, 'seed': 51, 'past': 14, 'hidden_multiplier': 40, 'st_net_layers': 7, 'st_dropout': 0.1, 'st_funnel_factor': 1, 'encoder_layers': 2, 'encoder_dropout': 0.2, 'encoder_compression_factor': 19, 'input_shape': [785, 2], 'hist_shape': [785, 14, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23148165,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-sine-one-channel-frequency-anomaly-no-anomaly#0#iyuea612lc/
fsb,2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly,tcNF-cnn,74,0,0.92,0.98,0.96,0.00,0.00,[0.9242081447963801],[0.9794897409932797],[0.9636416093933651],[0.0],[0],tcNF-cnn#2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly#0#1r6wcfg4ke,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly#0#1r6wcfg4ke/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly#0#1r6wcfg4ke/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly#0#1r6wcfg4ke/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 20, 'input_embedding_type': 0, 'seed': 62, 'past': 74, 'hidden_multiplier': 23, 'st_net_layers': 8, 'st_dropout': 0.4, 'st_funnel_factor': 6, 'encoder_layers': 2, 'encoder_size': 3, 'encoder_dropout': 0.9, 'encoder_channel_depth': 9, 'input_shape': [885, 2], 'hist_shape': [885, 74, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23146269,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#2-std_cut_increasing-stdRatio_3-stdPast_40-no-anomaly#0#1r6wcfg4ke/
fsb,4-rw-one-channels-extremum-anomaly-no-anomaly,tcNF-cnn,10,0,0.82,0.90,0.86,0.00,0.00,[0.8239795918367347],[0.8988820844164468],[0.8580639493017798],[0.0],[0],tcNF-cnn#4-rw-one-channels-extremum-anomaly-no-anomaly#0#ofmy2pq9ub,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-rw-one-channels-extremum-anomaly-no-anomaly#0#ofmy2pq9ub/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-rw-one-channels-extremum-anomaly-no-anomaly#0#ofmy2pq9ub/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-rw-one-channels-extremum-anomaly-no-anomaly#0#ofmy2pq9ub/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 12, 'input_embedding_type': 0, 'seed': 99, 'past': 10, 'hidden_multiplier': 37, 'st_net_layers': 6, 'st_dropout': 0.4, 'st_funnel_factor': 10, 'encoder_layers': 3, 'encoder_size': 4, 'encoder_dropout': 0.2, 'encoder_channel_depth': 9, 'input_shape': [785, 4], 'hist_shape': [785, 10, 4]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23146483,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-cnn#4-rw-one-channels-extremum-anomaly-no-anomaly#0#ofmy2pq9ub/
fsb,2-sine-one-channel-anomaly-noise-50%,tcNF-base,50,0,0.66,0.75,0.71,0.30,0.17,[0.6562189781021898],[0.7532751565837962],[0.7094778270585649],[0.296875],[0.1732785210856077],tcNF-base#2-sine-one-channel-anomaly-noise-50%#0#b2p1mnr0l4,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-50%#0#b2p1mnr0l4/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-50%#0#b2p1mnr0l4/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-50%#0#b2p1mnr0l4/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 10, 'input_embedding_type': 0, 'seed': 73, 'past': 50, 'hidden_multiplier': 48, 'st_net_layers': 7, 'st_dropout': 0.8, 'st_funnel_factor': 10, 'input_shape': [785, 2], 'hist_shape': [785, 50, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23145537,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-base#2-sine-one-channel-anomaly-noise-50%#0#b2p1mnr0l4/
fsb,2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly,tcNF-mlp,143,0,0.33,0.43,0.41,0.00,0.00,[0.331447963800905],[0.4260557277955306],[0.4109885891719001],[0.0],[0],tcNF-mlp#2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly#0#jx6no57rhv,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly#0#jx6no57rhv/*overview.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly#0#jx6no57rhv/*latent_space.png,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly#0#jx6no57rhv/*roc_curve.png,"{'coupling_stabilizer': 'tanh+bias', 'st_linear': True, 'batch_norm': 'none', 'input_embedding': 'none', 'coupling_layers': 15, 'input_embedding_type': 0, 'seed': 77, 'past': 143, 'hidden_multiplier': 39, 'st_net_layers': 6, 'st_dropout': 0.1, 'st_funnel_factor': 2, 'encoder_layers': 5, 'encoder_dropout': 0.7, 'encoder_compression_factor': 12, 'input_shape': [885, 2], 'hist_shape': [885, 143, 2]}",TFselfopt_selective_loop_v1_fsb_cc_re1-fsb,fixing_selective_loop_v1_fsb,23148168,../results/TFselfopt_selective_loop_v1_fsb_cc_re1-fsb/tcNF-mlp#2-std_cut_increasing_continue-stdRatio_3-stdPast_50-no-anomaly#0#jx6no57rhv/
